Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Field8,Field4,Field7,Field6,Field5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,55,,,,,,,,,,,
Component Count:,122,,,,,,,,,,,
Fitted Components:,122,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,122,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
BoM Date:,1/31/2018 10:25:15 AM,,,,,,,,,,,
Schematic Source:,C:/Users/vlad/Documents/Personal Projects/Draco/Draco.sch,,,,,,,,,,,
KiCad Version:,Eeschema 4.0.7,,,,,,,,,,,
